,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Agadir,MA,30.4202,-9.5982,69.8,52,0,13.8,clear sky
303,Beringovskiy,RU,63.05,179.3167,-10.12,95,7,4.72,clear sky
304,Lata,PT,40.1629,-8.3327,64.99,52,0,9.22,clear sky
305,Yerofey Pavlovich,RU,53.9667,121.9667,19.99,97,53,3.49,broken clouds
306,Mount Isa,AU,-20.7333,139.5,71.6,68,75,5.75,broken clouds
307,Leshukonskoye,RU,64.8989,45.7622,28.35,90,75,7.92,broken clouds
308,Dandong,CN,40.1292,124.3947,42.04,41,0,3.58,clear sky
309,Bengkulu,ID,-3.8004,102.2655,77.49,80,100,9.33,overcast clouds
310,Khowst,AF,33.3833,69.8833,57.72,60,89,2.57,overcast clouds
311,Rehoboth,NA,-23.3167,17.0833,78.62,26,50,7.11,scattered clouds
312,Olovyannaya,RU,50.95,115.5667,33.08,66,96,16.17,overcast clouds
313,Jiwani,PK,25.05,61.7417,81.73,69,1,5.91,clear sky
314,Comonfort,MX,20.7167,-100.7667,75.99,28,13,1.99,few clouds
315,Bilma,NE,18.6853,12.9164,82.85,7,0,7.18,clear sky
316,Launceston,AU,-41.45,147.1667,45.0,87,0,2.28,clear sky
317,Sakakah,SA,29.9697,40.2064,68.0,12,0,4.61,clear sky
318,Yarmouth,US,41.7057,-70.2286,53.6,19,1,16.11,clear sky
319,Baoqing,CN,46.3317,132.2111,35.26,45,27,7.83,scattered clouds
320,Zeya,RU,53.75,127.2667,17.31,96,100,3.42,overcast clouds
321,Joao Camara,BR,-5.5375,-35.8197,84.2,74,40,13.8,scattered clouds
322,Dudinka,RU,69.4058,86.1778,12.79,93,100,12.37,light snow
323,Charters Towers,AU,-20.1,146.2667,69.82,94,100,10.49,overcast clouds
324,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.22,73,19,9.44,few clouds
325,Kribi,CM,2.95,9.9167,81.46,81,99,9.57,overcast clouds
326,Cherskiy,RU,68.75,161.3,-18.63,100,87,3.06,overcast clouds
327,Padang,ID,-0.9492,100.3543,75.2,94,20,2.3,few clouds
