City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Ponta Do Sol,PT,2021-04-01 00:27:29,32.6667,-17.1,57.99,72,22,1.01
133,Samana,DO,2021-04-01 00:27:29,19.2056,-69.3369,75.2,88,20,6.91
134,Sao Miguel Do Araguaia,BR,2021-04-01 00:27:29,-13.275,-50.1628,78.55,63,52,2.77
135,Asfi,MA,2021-04-01 00:27:30,32.2994,-9.2372,61.88,84,0,11.72
136,Norman Wells,CA,2021-04-01 00:27:30,65.282,-126.8329,12.2,79,90,3.44
137,Muros,ES,2021-04-01 00:27:30,42.7762,-9.0603,63.0,66,100,10.51
138,Pauini,BR,2021-04-01 00:27:30,-7.7136,-66.9764,73.99,97,76,2.82
139,Stranraer,GB,2021-04-01 00:27:31,54.9023,-5.0273,46.0,95,43,14.07
140,Lebu,CL,2021-04-01 00:27:31,-37.6167,-73.65,57.27,92,59,13.42
141,Alushta,UA,2021-04-01 00:27:31,44.6667,34.4167,48.16,78,40,6.38
142,Bambari,CF,2021-04-01 00:27:32,5.768,20.6757,78.55,46,13,2.15
143,East London,ZA,2021-04-01 00:27:32,-33.0153,27.9116,66.52,80,75,8.88
144,Terracina,IT,2021-04-01 00:27:32,41.2863,13.2217,57.0,59,75,1.01
145,Kayan,MM,2021-04-01 00:27:33,16.9056,96.5631,77.0,88,40,3.44
146,Takab,IR,2021-04-01 00:27:33,36.4009,47.1133,44.24,73,84,4.21
147,Flinders,AU,2021-04-01 00:27:33,-34.5833,150.8552,75.0,65,40,1.01
148,Talnakh,RU,2021-04-01 00:27:34,69.4865,88.3972,-24.81,85,5,5.61
149,Tayga,RU,2021-04-01 00:27:34,56.06,85.6197,23.0,80,75,8.95
150,Kilifi,KE,2021-04-01 00:27:34,-3.6305,39.8499,82.4,78,20,10.36
151,Salalah,OM,2021-04-01 00:25:43,17.0151,54.0924,78.8,34,0,2.3
152,Namibe,AO,2021-04-01 00:27:35,-15.1961,12.1522,74.43,83,74,2.93
153,Hurghada,EG,2021-04-01 00:27:35,27.2574,33.8129,62.6,31,0,9.22
154,Anadyr,RU,2021-04-01 00:27:35,64.75,177.4833,8.6,72,0,15.66
155,Aksu,CN,2021-04-01 00:27:36,41.1231,80.2644,42.3,70,100,10.11
156,Yar-Sale,RU,2021-04-01 00:27:36,66.8333,70.8333,8.96,92,100,21.79
157,Victoria,HK,2021-04-01 00:24:17,22.2855,114.1577,80.01,83,94,1.01
158,Sosnovo-Ozerskoye,RU,2021-04-01 00:27:36,52.5249,111.5418,16.11,81,99,2.77
159,Lata,PT,2021-04-01 00:27:37,40.1629,-8.3327,63.0,75,97,8.99
160,Balkanabat,TM,2021-04-01 00:27:37,39.5108,54.3671,53.08,37,69,21.63
161,Nikolskoye,RU,2021-04-01 00:27:37,59.7035,30.7861,35.01,93,0,6.71
162,Roma,US,2021-04-01 00:27:38,43.2128,-75.4557,42.8,87,90,10.36
163,Barabai,ID,2021-04-01 00:27:38,-2.5833,115.3833,77.05,88,99,0.16
164,Nambour,AU,2021-04-01 00:27:38,-26.6333,152.95,72.0,73,68,5.01
165,Evensk,RU,2021-04-01 00:27:39,61.95,159.2333,20.62,86,100,6.06
166,Kirensk,RU,2021-04-01 00:27:39,57.7853,108.1119,24.66,89,99,10.96
167,Boda,CF,2021-04-01 00:27:39,4.3189,17.4695,77.32,65,81,3.78
168,Chapais,CA,2021-04-01 00:25:17,49.7834,-74.8492,21.2,79,90,10.36
169,Najran,SA,2021-04-01 00:27:40,17.4924,44.1277,66.2,27,0,2.3
170,Torbay,CA,2021-04-01 00:27:40,47.6666,-52.7314,27.0,74,20,5.66
171,Grindavik,IS,2021-04-01 00:27:40,63.8424,-22.4338,41.0,81,90,17.27
172,Kabare,CD,2021-04-01 00:27:41,-2.4683,28.8242,59.27,96,52,1.36
173,Upernavik,GL,2021-04-01 00:27:41,72.7868,-56.1549,1.22,70,99,7.31
174,Rapid Valley,US,2021-04-01 00:25:44,44.0625,-103.1463,48.2,18,1,10.36
175,Derzhavinsk,KZ,2021-04-01 00:27:41,51.1,66.3167,2.57,99,87,5.64
176,Poum,NC,2021-04-01 00:27:42,-20.2333,164.0167,79.21,72,100,10.78
177,Longyearbyen,SJ,2021-04-01 00:27:42,78.2186,15.6401,28.4,74,75,5.75
178,Bredasdorp,ZA,2021-04-01 00:25:46,-34.5322,20.0403,60.8,82,98,3.44
179,Olinda,BR,2021-04-01 00:27:42,-8.0089,-34.8553,82.4,80,75,9.33
180,Bubaque,GW,2021-04-01 00:27:43,11.2833,-15.8333,76.8,70,16,21.05
181,Meulaboh,ID,2021-04-01 00:27:43,4.1363,96.1285,73.71,92,100,4.25
182,Nagapattinam,IN,2021-04-01 00:27:43,10.7667,79.8333,81.19,80,26,13.15
183,San Cristobal,VE,2021-04-01 00:27:43,7.7669,-72.225,77.0,94,40,4.61
184,Khvalynsk,RU,2021-04-01 00:27:44,52.4906,48.1058,36.19,78,100,16.67
185,Baykit,RU,2021-04-01 00:27:17,61.67,96.37,-7.22,99,71,2.59
186,Lerwick,GB,2021-04-01 00:27:44,60.1545,-1.1494,37.4,65,75,6.91
187,Praia,CV,2021-04-01 00:27:44,14.9215,-23.5087,69.8,73,75,17.27
188,Viedma,AR,2021-04-01 00:27:45,-40.8135,-62.9967,61.07,84,75,6.04
189,Praia Da Vitoria,PT,2021-04-01 00:27:45,38.7333,-27.0667,59.0,82,40,11.07
190,Sao Felix Do Xingu,BR,2021-04-01 00:26:20,-6.6447,-51.995,72.46,97,87,1.28
191,Hachinohe,JP,2021-04-01 00:27:45,40.5,141.5,53.01,49,1,5.01
192,Sola,VU,2021-04-01 00:27:33,-13.8833,167.55,87.8,79,90,4.61
193,Saldanha,ZA,2021-04-01 00:27:32,-33.0117,17.9442,60.8,82,98,5.75
194,Kot Samaba,PK,2021-04-01 00:27:46,28.5522,70.4684,75.45,8,0,8.43
195,Ternate,ID,2021-04-01 00:27:46,0.8,127.4,82.38,79,96,5.41
196,Winnemucca,US,2021-04-01 00:27:46,40.973,-117.7357,62.6,13,1,3.44
197,Pisco,PE,2021-04-01 00:27:47,-13.7,-76.2167,69.8,73,0,19.57
198,Sterling,US,2021-04-01 00:24:19,39.0062,-77.4286,63.0,94,90,1.77
199,Parana,AR,2021-04-01 00:22:55,-31.732,-60.5238,66.99,76,1,1.01
200,Davila,PH,2021-04-01 00:27:47,18.4726,120.5763,82.4,78,20,4.61
201,Klamath Falls,US,2021-04-01 00:23:45,42.2249,-121.7817,70.0,11,1,5.75
202,Cayenne,GF,2021-04-01 00:25:07,4.9333,-52.3333,80.01,83,20,6.91
203,Suntar,RU,2021-04-01 00:23:12,62.1444,117.6319,16.12,90,87,1.88
204,Pangnirtung,CA,2021-04-01 00:27:48,66.1451,-65.7125,8.85,95,100,4.81
205,Charlestown,AU,2021-04-01 00:27:48,-32.95,151.6667,73.0,84,45,1.01
206,Nanortalik,GL,2021-04-01 00:27:48,60.1432,-45.2371,33.37,88,82,8.05
207,Le Port,RE,2021-04-01 00:27:49,-20.9373,55.2919,75.2,83,0,5.75
208,Hasaki,JP,2021-04-01 00:27:49,35.7333,140.8333,62.6,59,40,10.36
209,Georgetown,MY,2021-04-01 00:26:56,5.4112,100.3354,81.0,89,20,2.3
210,Lavrentiya,RU,2021-04-01 00:27:49,65.5833,-171.0,5.05,72,3,4.07
211,Itaituba,BR,2021-04-01 00:27:50,-4.2761,-55.9836,74.3,97,100,1.36
212,Tanete,ID,2021-04-01 00:27:50,-3.9443,119.7848,81.18,81,97,4.59
213,Maceio,BR,2021-04-01 00:24:10,-9.6658,-35.7353,77.0,88,20,4.61
214,Fairbanks,US,2021-04-01 00:25:48,64.8378,-147.7164,28.99,93,90,12.66
215,Tuatapere,NZ,2021-04-01 00:27:50,-46.1333,167.6833,60.01,74,81,3.0
216,Nome,US,2021-04-01 00:27:38,64.5011,-165.4064,6.8,56,1,10.36
217,Huarmey,PE,2021-04-01 00:27:51,-10.0681,-78.1522,70.68,84,12,8.66
218,Beni Mazar,EG,2021-04-01 00:27:51,28.4962,30.8029,57.58,46,33,5.03
219,Verkhnevilyuysk,RU,2021-04-01 00:27:51,63.4453,120.3167,12.43,91,73,4.97
220,Kapit,MY,2021-04-01 00:27:52,2.0167,112.9333,75.6,92,94,0.43
221,Vanimo,PG,2021-04-01 00:27:52,-2.6741,141.3028,81.52,75,97,4.07
222,Lisakovsk,KZ,2021-04-01 00:27:52,52.5369,62.4936,21.43,91,61,12.64
223,Ancud,CL,2021-04-01 00:27:52,-41.8697,-73.8203,57.2,88,0,3.44
224,Mount Isa,AU,2021-04-01 00:27:44,-20.7333,139.5,84.2,37,0,19.57
225,Krasnoye,UA,2021-04-01 00:27:53,49.9145,24.6134,44.6,100,75,2.24
226,San Antonio,US,2021-04-01 00:27:36,29.4241,-98.4936,71.6,35,75,13.8
227,Zdvinsk,RU,2021-04-01 00:27:53,54.7021,78.661,6.96,94,75,8.12
228,Sinnamary,GF,2021-04-01 00:27:54,5.3833,-52.95,77.2,84,64,12.26
229,Taitung,TW,2021-04-01 00:27:54,22.7583,121.1444,82.4,69,40,1.14
230,Saint-Augustin,CA,2021-04-01 00:27:54,51.226,-58.6502,19.71,90,52,3.47
231,Tiksi,RU,2021-04-01 00:27:54,71.6872,128.8694,-8.57,98,100,10.94
232,Punta Cardon,VE,2021-04-01 00:27:55,11.6581,-70.215,78.33,78,85,31.0
233,Waipawa,NZ,2021-04-01 00:27:55,-41.4122,175.5153,59.0,72,75,28.77
234,Inirida,CO,2021-04-01 00:27:55,3.8653,-67.9239,75.25,93,100,0.94
235,Moosomin,CA,2021-04-01 00:27:56,50.1333,-101.6677,31.06,52,1,7.05
236,Kaitangata,NZ,2021-04-01 00:27:56,-46.2817,169.8464,59.0,57,9,8.01
237,Lusambo,CD,2021-04-01 00:27:56,-4.9667,23.45,69.15,98,71,0.43
238,Mikhaylovka,RU,2021-04-01 00:27:57,50.06,43.2379,35.94,77,13,7.61
239,Hovd,MN,2021-04-01 00:27:57,48.0056,91.6419,25.39,47,93,2.01
240,Hearst,CA,2021-04-01 00:27:57,49.6835,-83.6665,12.2,79,100,6.91
241,Berlevag,NO,2021-04-01 00:27:57,70.8578,29.0864,33.58,91,100,13.44
242,Sakakah,SA,2021-04-01 00:27:58,29.9697,40.2064,55.4,44,0,5.75
243,Ferrol,ES,2021-04-01 00:27:58,43.4832,-8.2369,69.8,43,0,6.91
244,Kununurra,AU,2021-04-01 00:27:58,-15.7667,128.7333,84.2,51,98,8.05
245,Souillac,MU,2021-04-01 00:27:59,-20.5167,57.5167,77.0,94,75,3.44
246,Kodinsk,RU,2021-04-01 00:27:59,58.6881,99.1844,8.42,94,98,4.97
247,Severo-Kurilsk,RU,2021-04-01 00:27:59,50.6789,156.125,37.13,98,100,13.11
248,Nemuro,JP,2021-04-01 00:28:00,43.3236,145.575,46.4,61,20,9.22
249,The Pas,CA,2021-04-01 00:28:00,53.8251,-101.2541,35.6,48,40,12.66
250,Rio Gallegos,AR,2021-04-01 00:28:00,-51.6226,-69.2181,50.0,71,0,16.11
251,Geraldton,AU,2021-04-01 00:28:01,-28.7667,114.6,71.6,64,3,10.36
252,Caucaia,BR,2021-04-01 00:28:01,-3.7361,-38.6531,82.0,89,0,4.61
253,Asau,RO,2021-04-01 00:28:01,46.4333,26.4,46.0,50,100,2.46
254,Kiunga,PG,2021-04-01 00:28:02,-6.1219,141.2906,75.16,93,100,1.86
255,Kovvur,IN,2021-04-01 00:28:02,17.0167,81.7333,76.05,84,76,3.42
256,Imperial,US,2021-04-01 00:28:02,33.0334,-115.4175,86.0,6,1,5.75
257,Kutum,SD,2021-04-01 00:28:02,14.2,24.6667,65.53,18,3,8.9
258,Tabas,IR,2021-04-01 00:28:03,33.5959,56.9244,61.72,16,14,4.34
259,Fortuna,US,2021-04-01 00:28:03,40.5982,-124.1573,73.4,21,1,12.66
260,Durres,AL,2021-04-01 00:28:03,41.3231,19.4414,44.6,93,0,2.3
261,Bend,US,2021-04-01 00:28:04,44.0582,-121.3153,73.4,7,1,8.05
262,Ketchikan,US,2021-04-01 00:24:20,55.3422,-131.6461,39.2,100,90,25.32
263,Manta,EC,2021-04-01 00:23:34,-0.95,-80.7333,80.6,78,40,9.22
264,Cockburn Town,TC,2021-04-01 00:28:04,21.4612,-71.1419,77.0,73,40,17.27
265,Carnarvon,AU,2021-04-01 00:28:04,-24.8667,113.6333,78.8,83,0,5.75
266,Pierre,US,2021-04-01 00:28:05,44.3683,-100.351,44.6,24,1,8.05
267,Pandan,PH,2021-04-01 00:28:05,14.0453,124.1694,81.75,71,100,9.95
268,San Angelo,US,2021-04-01 00:23:19,31.4638,-100.437,64.99,24,61,7.0
269,Bar Harbor,US,2021-04-01 00:28:05,44.3876,-68.2039,53.01,87,90,13.8
270,Sibolga,ID,2021-04-01 00:28:06,1.7427,98.7792,74.98,86,98,6.02
271,Alice Springs,AU,2021-04-01 00:28:06,-23.7,133.8833,71.6,28,0,8.05
272,Scottsbluff,US,2021-04-01 00:28:06,41.8666,-103.6672,50.0,20,1,11.5
273,Luderitz,NA,2021-04-01 00:26:45,-26.6481,15.1594,66.79,59,0,13.02
274,Isangel,VU,2021-04-01 00:28:07,-19.55,169.2667,84.2,84,90,10.98
275,Suba,PH,2021-04-01 00:28:07,10.8438,121.0102,82.56,80,100,19.48
276,Katsuura,JP,2021-04-01 00:28:07,35.1333,140.3,64.0,63,75,10.36
277,Plettenberg Bay,ZA,2021-04-01 00:28:08,-34.0527,23.3716,62.29,89,98,6.4
278,Los Llanos De Aridane,ES,2021-04-01 00:28:08,28.6585,-17.9182,66.2,63,40,8.05
279,Kulhudhuffushi,MV,2021-04-01 00:28:08,6.6221,73.07,84.16,71,12,10.96
280,Prince Rupert,CA,2021-04-01 00:28:08,54.3161,-130.3201,41.0,93,90,16.11
281,Masunga,BW,2021-04-01 00:28:09,-20.6246,27.4488,61.97,53,81,7.23
282,Greytown,ZA,2021-04-01 00:28:09,-29.0642,30.5928,58.12,56,41,0.31
